#decoy score
complex.1.pdb 2005.6029
complex.2.pdb 1798.7283
complex.3.pdb 1739.9215
complex.4.pdb 1732.4719
complex.5.pdb 1708.1947
complex.6.pdb 1699.3722
complex.7.pdb 1691.5642
complex.8.pdb 1679.7391
complex.9.pdb 1671.6433
complex.10.pdb 1631.1160
complex.11.pdb 1630.7357
complex.12.pdb 1628.8966
complex.13.pdb 1596.5646
complex.14.pdb 1588.7642
complex.15.pdb 1587.4214
complex.16.pdb 1582.4384
complex.17.pdb 1566.8999
complex.18.pdb 1563.5625
complex.19.pdb 1560.2089
complex.20.pdb 1557.8054
complex.21.pdb 1555.5511
complex.22.pdb 1551.4935
complex.23.pdb 1539.9028
complex.24.pdb 1531.0823
complex.25.pdb 1526.9620
complex.26.pdb 1526.8585
complex.27.pdb 1514.3949
complex.28.pdb 1509.3115
complex.29.pdb 1508.5739
complex.30.pdb 1508.4626
complex.31.pdb 1507.3918
complex.32.pdb 1505.6752
complex.33.pdb 1504.7771
complex.34.pdb 1501.6722
complex.35.pdb 1489.4094
complex.36.pdb 1487.0128
complex.37.pdb 1484.4985
complex.38.pdb 1481.7863
complex.39.pdb 1473.7670
complex.40.pdb 1464.3734
complex.41.pdb 1463.7085
complex.42.pdb 1453.0406
complex.43.pdb 1450.3834
complex.44.pdb 1447.6816
complex.45.pdb 1444.5045
complex.46.pdb 1444.1108
complex.47.pdb 1443.8904
complex.48.pdb 1442.7993
complex.49.pdb 1439.5219
complex.50.pdb 1439.3295
complex.51.pdb 1439.1355
complex.52.pdb 1437.9160
complex.53.pdb 1435.5715
complex.54.pdb 1434.9587
complex.55.pdb 1434.0267
complex.56.pdb 1433.1501
complex.57.pdb 1431.5349
complex.58.pdb 1430.0262
complex.59.pdb 1428.5376
complex.60.pdb 1425.7997
complex.61.pdb 1425.5432
complex.62.pdb 1425.2537
complex.63.pdb 1424.8922
complex.64.pdb 1422.9432
complex.65.pdb 1422.8805
complex.66.pdb 1420.9376
complex.67.pdb 1418.8143
complex.68.pdb 1418.3596
complex.69.pdb 1417.4558
complex.70.pdb 1416.0812
complex.71.pdb 1415.6735
complex.72.pdb 1415.1074
complex.73.pdb 1414.6437
complex.74.pdb 1414.4608
complex.75.pdb 1412.0737
complex.76.pdb 1412.0127
complex.77.pdb 1411.6527
complex.78.pdb 1411.1310
complex.79.pdb 1409.7568
complex.80.pdb 1409.7295
complex.81.pdb 1409.0731
complex.82.pdb 1407.0677
complex.83.pdb 1407.0071
complex.84.pdb 1406.6569
complex.85.pdb 1405.6271
complex.86.pdb 1404.8693
complex.87.pdb 1404.2330
complex.88.pdb 1402.6318
complex.89.pdb 1401.8628
complex.90.pdb 1401.6517
complex.91.pdb 1401.2947
complex.92.pdb 1400.2598
complex.93.pdb 1400.1932
complex.94.pdb 1400.1455
complex.95.pdb 1399.4817
complex.96.pdb 1399.2683
complex.97.pdb 1399.0109
complex.98.pdb 1398.5225
complex.99.pdb 1398.1588
complex.100.pdb 1397.9073
complex.101.pdb 1397.5103
complex.102.pdb 1395.6776
complex.103.pdb 1395.4009
complex.104.pdb 1391.5167
complex.105.pdb 1391.3359
complex.106.pdb 1391.0367
complex.107.pdb 1390.6216
complex.108.pdb 1390.2502
complex.109.pdb 1390.2418
complex.110.pdb 1389.3240
complex.111.pdb 1388.8306
complex.112.pdb 1388.2072
complex.113.pdb 1387.1884
complex.114.pdb 1386.9564
complex.115.pdb 1386.8065
complex.116.pdb 1386.4856
complex.117.pdb 1385.6322
complex.118.pdb 1385.4462
