#decoys scores
complex.1.pdb -1.1806
complex.2.pdb -5.5827
complex.3.pdb -2.7363
complex.4.pdb 6.1857
complex.5.pdb 5.5894
complex.6.pdb -2.3197
complex.7.pdb -6.1283
complex.8.pdb -1.0436
complex.9.pdb -2.8273
complex.10.pdb 2.3170
complex.11.pdb 2.1762
complex.12.pdb -6.4106
complex.13.pdb 1.3206
complex.14.pdb -1.8841
complex.15.pdb -1.8952
complex.16.pdb 7.3792
complex.17.pdb -3.7698
complex.18.pdb -2.4744
complex.19.pdb -2.9726
complex.20.pdb -3.3415
complex.21.pdb -1.4285
complex.22.pdb -4.3224
complex.23.pdb 0.2218
complex.24.pdb 5.3857
complex.25.pdb -3.5236
complex.26.pdb -1.6062
complex.27.pdb -2.6842
complex.28.pdb -0.2316
complex.29.pdb -2.2613
complex.30.pdb 0.7826
complex.31.pdb 0.4797
complex.32.pdb -2.7641
complex.33.pdb -2.5408
complex.34.pdb 6.4151
complex.35.pdb -0.1106
complex.36.pdb -1.8910
complex.37.pdb -5.8134
complex.38.pdb 7.5688
complex.39.pdb -2.3989
complex.40.pdb -3.2245
complex.41.pdb -5.5258
complex.42.pdb -3.5962
complex.43.pdb 4.1639
complex.44.pdb -2.1154
complex.45.pdb -4.9585
complex.46.pdb -2.2907
complex.47.pdb 7.1453
complex.48.pdb 6.7903
complex.49.pdb -0.3104
complex.50.pdb -0.1266
complex.51.pdb -2.8978
complex.52.pdb -3.9512
complex.53.pdb 7.5004
complex.54.pdb 0.5797
complex.55.pdb 2.4056
complex.56.pdb -1.6824
complex.57.pdb -2.9525
complex.58.pdb -3.0234
complex.59.pdb -3.5473
complex.60.pdb -3.7043
complex.61.pdb -3.7224
complex.62.pdb 7.5213
complex.63.pdb -3.7364
complex.64.pdb 8.1821
complex.65.pdb 2.1884
complex.66.pdb 4.4245
complex.67.pdb -3.9543
complex.68.pdb -3.6144
complex.69.pdb 8.4990
complex.70.pdb 0.1398
complex.71.pdb 5.8490
complex.72.pdb -5.7675
complex.73.pdb -3.8642
complex.74.pdb -4.9007
complex.75.pdb -2.4699
complex.76.pdb -0.9415
complex.77.pdb -3.0687
complex.78.pdb 2.9921
complex.79.pdb -1.0060
complex.80.pdb -2.3017
complex.81.pdb -2.2014
complex.82.pdb 8.4422
complex.83.pdb -2.8595
complex.84.pdb -1.3050
complex.85.pdb -8.0293
complex.86.pdb 4.0953
complex.87.pdb 3.5313
complex.88.pdb -3.4132
complex.89.pdb 1.2027
complex.90.pdb 1.9320
complex.91.pdb 6.1250
complex.92.pdb -1.1005
complex.93.pdb -3.2796
complex.94.pdb -3.8620
complex.95.pdb 2.6805
complex.96.pdb -5.7763
complex.97.pdb -3.5204
complex.98.pdb -2.5891
complex.99.pdb -1.9679
complex.100.pdb 8.2059
complex.101.pdb -0.9728
complex.102.pdb -5.0537
complex.103.pdb -3.5715
complex.104.pdb -0.5073
complex.105.pdb -2.1228
complex.106.pdb -1.6834
complex.107.pdb 2.3147
complex.108.pdb 1.4008
complex.109.pdb 6.0917
complex.110.pdb 4.4753
complex.111.pdb -1.7965
complex.112.pdb 0.9065
complex.113.pdb 7.9104
complex.114.pdb 1.9156
complex.115.pdb 6.2641
complex.116.pdb -2.6845
complex.117.pdb -1.9084
complex.118.pdb -0.1177
complex.119.pdb 0.1368
complex.120.pdb 2.4578
complex.121.pdb 3.8410
complex.122.pdb 7.5031
complex.123.pdb 4.5100
complex.124.pdb -2.0168
complex.125.pdb -1.5683
complex.126.pdb 3.9282
complex.127.pdb -0.5047
complex.128.pdb 3.9800
complex.129.pdb -3.2180
complex.130.pdb 3.8487
complex.131.pdb -0.9494
complex.132.pdb -3.0050
complex.133.pdb 0.3819
complex.134.pdb 6.9207
complex.135.pdb -5.4913
complex.136.pdb -2.6684
complex.137.pdb -1.6718
complex.138.pdb -5.4850
complex.139.pdb -2.7441
complex.140.pdb 1.6920
complex.141.pdb 8.6022
complex.142.pdb -1.4829
complex.143.pdb -0.3186
complex.144.pdb -3.9225
complex.145.pdb 4.9057
complex.146.pdb -1.9694
complex.147.pdb 0.9179
complex.148.pdb 4.6820
complex.149.pdb -1.6677
complex.150.pdb -2.0733
complex.151.pdb -2.1705
complex.152.pdb 5.5346
complex.153.pdb -3.9667
complex.154.pdb 7.1531
